1,8,6; 3,6,2; 5,2,4; 7,4,8; - sum = 20; d3 = 0;
1,8,6; 3,6,4; 5,4,2; 7,2,8; - sum = 20; d3 = 0;
1,4,5; 3,5,7; 6,7,8; 2,8,4; - sum = 24; d3 = 0;
1,4,5; 3,5,8; 6,8,7; 2,7,4; - sum = 24; d3 = 0;
1,4,7; 3,7,5; 6,5,8; 2,8,4; - sum = 24; d3 = 0;
1,4,7; 3,7,8; 6,8,5; 2,5,4; - sum = 24; d3 = 0;
1,4,8; 3,8,5; 6,5,7; 2,7,4; - sum = 24; d3 = 0;
1,4,8; 3,8,7; 6,7,5; 2,5,4; - sum = 24; d3 = 0;
1,5,4; 3,4,7; 6,7,8; 2,8,5; - sum = 24; d3 = 0;
1,5,4; 3,4,8; 6,8,7; 2,7,5; - sum = 24; d3 = 0;
1,5,7; 3,7,4; 6,4,8; 2,8,5; - sum = 24; d3 = 0;
1,5,7; 3,7,8; 6,8,4; 2,4,5; - sum = 24; d3 = 0;
1,5,8; 3,8,4; 6,4,7; 2,7,5; - sum = 24; d3 = 0;
1,5,8; 3,8,7; 6,7,4; 2,4,5; - sum = 24; d3 = 0;
1,7,4; 3,4,5; 6,5,8; 2,8,7; - sum = 24; d3 = 0;
1,7,4; 3,4,8; 6,8,5; 2,5,7; - sum = 24; d3 = 0;
1,7,5; 3,5,4; 6,4,8; 2,8,7; - sum = 24; d3 = 0;
1,7,5; 3,5,8; 6,8,4; 2,4,7; - sum = 24; d3 = 0;
1,7,8; 3,8,4; 6,4,5; 2,5,7; - sum = 24; d3 = 0;
1,7,8; 3,8,5; 6,5,4; 2,4,7; - sum = 24; d3 = 0;
1,8,4; 3,4,5; 6,5,7; 2,7,8; - sum = 24; d3 = 0;
1,8,4; 3,4,7; 6,7,5; 2,5,8; - sum = 24; d3 = 0;
1,8,5; 3,5,4; 6,4,7; 2,7,8; - sum = 24; d3 = 0;
1,8,5; 3,5,7; 6,7,4; 2,4,8; - sum = 24; d3 = 0;
1,8,7; 3,7,4; 6,4,5; 2,5,8; - sum = 24; d3 = 0;
1,8,7; 3,7,5; 6,5,4; 2,4,8; - sum = 24; d3 = 0;
1,2,4; 3,4,6; 7,6,8; 5,8,2; - sum = 20; d3 = 0;
1,2,4; 3,4,8; 7,8,6; 5,6,2; - sum = 20; d3 = 0;
1,2,6; 3,6,4; 7,4,8; 5,8,2; - sum = 20; d3 = 0;
1,2,6; 3,6,8; 7,8,4; 5,4,2; - sum = 20; d3 = 0;
1,2,8; 3,8,4; 7,4,6; 5,6,2; - sum = 20; d3 = 0;
1,2,8; 3,8,6; 7,6,4; 5,4,2; - sum = 20; d3 = 0;
1,4,2; 3,2,6; 7,6,8; 5,8,4; - sum = 20; d3 = 0;
1,4,2; 3,2,8; 7,8,6; 5,6,4; - sum = 20; d3 = 0;
1,4,6; 3,6,2; 7,2,8; 5,8,4; - sum = 20; d3 = 0;
1,4,6; 3,6,8; 7,8,2; 5,2,4; - sum = 20; d3 = 0;
1,4,8; 3,8,2; 7,2,6; 5,6,4; - sum = 20; d3 = 0;
1,4,8; 3,8,6; 7,6,2; 5,2,4; - sum = 20; d3 = 0;
1,6,2; 3,2,4; 7,4,8; 5,8,6; - sum = 20; d3 = 0;
1,6,2; 3,2,8; 7,8,4; 5,4,6; - sum = 20; d3 = 0;
1,6,4; 3,4,2; 7,2,8; 5,8,6; - sum = 20; d3 = 0;
1,6,4; 3,4,8; 7,8,2; 5,2,6; - sum = 20; d3 = 0;
1,6,8; 3,8,2; 7,2,4; 5,4,6; - sum = 20; d3 = 0;
1,6,8; 3,8,4; 7,4,2; 5,2,6; - sum = 20; d3 = 0;
1,8,2; 3,2,4; 7,4,6; 5,6,8; - sum = 20; d3 = 0;
1,8,2; 3,2,6; 7,6,4; 5,4,8; - sum = 20; d3 = 0;
1,8,4; 3,4,2; 7,2,6; 5,6,8; - sum = 20; d3 = 0;
1,8,4; 3,4,6; 7,6,2; 5,2,8; - sum = 20; d3 = 0;
1,8,6; 3,6,2; 7,2,4; 5,4,8; - sum = 20; d3 = 0;
1,8,6; 3,6,4; 7,4,2; 5,2,8; - sum = 20; d3 = 0;
1,2,5; 3,5,6; 8,6,7; 4,7,2; - sum = 20; d3 = 0;
